"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"Geography 2","North American Industry Classification System (NAICS) 3","Sex","Age group","Reference period","Labour force 4","Employment 5","Unemployment 6","Unemployment rate 7"
"",,,,,"Persons",,,"Percentage"
,,,,"2017","323.5 (x 1,000)","307.3 (x 1,000)","16.2 (x 1,000)","5.0"
,,,,"2018","322.2 (x 1,000)","306.9 (x 1,000)","15.3 (x 1,000)","4.7"
,,,,"2019","329.4 (x 1,000)","311.4 (x 1,000)","18.0 (x 1,000)","5.5"
,,,,"2020","289.4 (x 1,000)","249.0 (x 1,000)","40.4 (x 1,000)","14.0"
,,,"25 to 54 years","2010","1,239.2 (x 1,000)","1,189.6 (x 1,000)","49.6 (x 1,000)","4.0"
,,,,"2011","1,241.9 (x 1,000)","1,197.2 (x 1,000)","44.6 (x 1,000)","3.6"
,,,,"2012","1,252.6 (x 1,000)","1,213.3 (x 1,000)","39.2 (x 1,000)","3.1"
,,,,"2013","1,256.7 (x 1,000)","1,220.2 (x 1,000)","36.5 (x 1,000)","2.9"
,,,,"2014","1,277.2 (x 1,000)","1,240.7 (x 1,000)","36.5 (x 1,000)","2.9"
,,,,"2015","1,280.6 (x 1,000)","1,245.8 (x 1,000)","34.8 (x 1,000)","2.7"
,,,,"2016","1,300.1 (x 1,000)","1,256.3 (x 1,000)","43.8 (x 1,000)","3.4"
,,,,"2017","1,341.1 (x 1,000)","1,305.4 (x 1,000)","35.7 (x 1,000)","2.7"
,,,,"2018","1,352.9 (x 1,000)","1,320.7 (x 1,000)","32.2 (x 1,000)","2.4"
,,,,"2019","1,399.8 (x 1,000)","1,366.6 (x 1,000)","33.2 (x 1,000)","2.4"
,,,,"2020","1,381.9 (x 1,000)","1,299.7 (x 1,000)","82.2 (x 1,000)","5.9"
,,,"55 years and over","2010","336.5 (x 1,000)","326.1 (x 1,000)","10.4 (x 1,000)","3.1"
,,,,"2011","347.4 (x 1,000)","335.6 (x 1,000)","11.8 (x 1,000)","3.4"
,,,,"2012","367.5 (x 1,000)","358.3 (x 1,000)","9.2 (x 1,000)","2.5"
,,,,"2013","371.3 (x 1,000)","360.6 (x 1,000)","10.8 (x 1,000)","2.9"
,,,,"2014","370.0 (x 1,000)","360.3 (x 1,000)","9.6 (x 1,000)","2.6"
,,,,"2015","392.6 (x 1,000)","382.5 (x 1,000)","10.1 (x 1,000)","2.6"
,,,,"2016","441.3 (x 1,000)","431.0 (x 1,000)","10.3 (x 1,000)","2.3"
,,,,"2017","441.2 (x 1,000)","430.8 (x 1,000)","10.4 (x 1,000)","2.4"
,,,,"2018","454.3 (x 1,000)","441.7 (x 1,000)","12.7 (x 1,000)","2.8"
,,,,"2019","487.3 (x 1,000)","476.5 (x 1,000)","10.8 (x 1,000)","2.2"
,,,,"2020","484.9 (x 1,000)","459.1 (x 1,000)","25.8 (x 1,000)","5.3"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","62.1","..","62.1",".."
,,,,"2011","70.9","..","70.9",".."
,,,,"2012","70.0","..","70.0",".."
,,,,"2013","63.9","..","63.9",".."
,,,,"2014","59.7","..","59.7",".."
,,,,"2015","61.7","..","61.7",".."
,,,,"2016","57.0","..","57.0",".."
,,,,"2017","54.0","..","54.0",".."
,,,,"2018","49.8","..","49.8",".."
,,,,"2019","46.6","..","46.6",".."
,,,,"2020","60.2","..","60.2",".."
,,,"15 to 24 years (x 1,000)","2010","19.7","..","19.7",".."
,,,,"2011","21.4","..","21.4",".."
,,,,"2012","20.2","..","20.2",".."
,,,,"2013","19.7","..","19.7",".."
,,,,"2014","18.1","..","18.1",".."
,,,,"2015","16.4","..","16.4",".."
,,,,"2016","14.8","..","14.8",".."
,,,,"2017","13.3","..","13.3",".."
,,,,"2018","11.9","..","11.9",".."
,,,,"2019","13.6","..","13.6",".."
,,,,"2020","21.0","..","21.0",".."
,,,"25 to 54 years (x 1,000)","2010","35.1","..","35.1",".."
,,,,"2011","39.4","..","39.4",".."
,,,,"2012","35.8","..","35.8",".."
,,,,"2013","33.3","..","33.3",".."
,,,,"2014","32.5","..","32.5",".."
,,,,"2015","34.0","..","34.0",".."
,,,,"2016","29.2","..","29.2",".."
,,,,"2017","27.9","..","27.9",".."
,,,,"2018","28.4","..","28.4",".."
,,,,"2019","23.3","..","23.3",".."
,,,,"2020","28.5","..","28.5",".."
,,,"55 years and over (x 1,000)","2010","7.3","..","7.3",".."
,,,,"2011","10.1","..","10.1",".."
,,,,"2012","14.1","..","14.1",".."
,,,,"2013","10.9","..","10.9",".."
,,,,"2014","9.1","..","9.1",".."
,,,,"2015","11.4","..","11.4",".."
,,,,"2016","13.0","..","13.0",".."
,,,,"2017","12.8","..","12.8",".."
,,,,"2018","9.6","..","9.6",".."
,,,,"2019","9.7","..","9.7",".."
,,,,"2020","10.7","..","10.7",".."

Symbol legend:
..,not available for a specific reference period,

Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,Excluding the territories.
3,"Industry refers to the general nature of the business carried out by the employer for whom the respondent works (main job only). If the individual did not have a job during the reference week, the data relate to the previous job, if that job was held in the past year. Those unemployed persons who have never worked before and those persons who last worked more than 1 year ago make up the ""unclassified"" category in this table. In January 1999, the industry classification switched from Standard Industrial Classification (SIC 1980) to North American Industrial Classification System (NAICS), which was quite different. For this reason, detailed historical data based on NAICS is provided going back to January 1987. In addition, data from 1976 to 1986 is provided at a less detailed level than the more recent data. Historical data have been created by imputation. From 1976 to 1986, estimates are based on 2002 NAICS. From 1987 onwards, industry estimates are based on the 2017 North American Industry Classification System (NAICS)."
4,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed. Estimates in thousands, rounded to the nearest hundred."
5,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
6,"Number of persons who, during the reference week, were without work, had looked for work in the past four weeks, and were available for work. Those persons on layoff or who had a new job to start in four weeks or less are considered unemployed. Estimates in thousands, rounded to the nearest hundred."
7,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, sex, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
8,This combines the North American Industry Classification System (NAICS) codes 11 to 91.
9,This combines the North American Industry Classification System (NAICS) codes 11 to 33.
10,This combines the North American Industry Classification System (NAICS) codes 41 to 91.
11,"Unemployed persons who have never worked before, and those unemployed persons who last worked more than 1 year ago."

"How to cite: Statistics Canada. Table 14-10-0023-01 Labour force characteristics by industry, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410002301
DOI: https://doi.org/10.25318/1410002301-eng
